Genes,AAC(3)-Ib,AAC(6')-Ib7,APH(3'')-Ib,APH(6)-Id,CARB-1,CARB-12,CARB-2,CARB-3,CARB-6,CRP,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,Escherichia coli parE conferring resistance to fluoroquinolones,Mrx,QnrVC4,QnrVC5,QnrVC7,Vibrio cholerae varG,aadA,aadA12,aadA13,aadA15,aadA17,aadA2,aadA21,aadA22,aadA23,aadA24,aadA25,aadA3,aadA8,aadA9,catB9,dfrA1,dfrA12,dfrA23,floR,mphA,sul1,sul2,sul3,sul4,tet(C),tet(W/N/W)
Australia-1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.28,80.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhaka-2002,0.0,0.0,99.25,99.64,0.0,0.0,0.0,0.0,0.0,95.24,87.28,80.73,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.75,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Haiti-nonO1-O139-1-2010,0.0,0.0,99.63,99.64,0.0,0.0,0.0,0.0,0.0,95.24,0.0,80.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,78.28,0.0
Australia-1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.24,87.02,80.73,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia-1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.28,80.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India-2005,0.0,0.0,99.25,99.64,0.0,0.0,0.0,0.0,0.0,95.24,0.0,80.73,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,83.96,0.0,0.0,99.75,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Haiti-nonO1-O139-env-2010,0.0,0.0,99.63,99.64,0.0,0.0,0.0,0.0,0.0,95.24,87.28,80.73,0.0,99.54,99.08,98.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.75,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Haiti-nonO1-O139-2-2010,0.0,0.0,0.0,0.0,99.65,98.26,99.31,99.67,94.44,95.24,87.4,80.73,0.0,98.62,98.17,98.62,98.93,86.31,94.68,0.0,91.25,95.44,99.61,89.35,89.35,89.19,88.42,94.68,98.48,95.44,0.0,0.0,0.0,0.0,91.4,0.0,0.0,100.0,53.76,42.61,29.73,0.0,0.0
Bangladesh-2-2010,0.0,0.0,99.25,99.64,0.0,0.0,0.0,0.0,0.0,95.24,87.28,80.73,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,83.96,0.0,0.0,99.75,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Egypt-1930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.24,0.0,80.73,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican-Republic,0.0,0.0,99.25,99.64,0.0,0.0,0.0,0.0,0.0,95.24,0.0,80.73,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,83.96,0.0,0.0,99.75,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Indonesia-1937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.28,80.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata-1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.28,80.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata-1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.28,80.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh-1-2010,0.0,0.0,99.25,99.64,0.0,0.0,0.0,0.0,0.0,95.24,87.28,80.73,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,83.96,0.0,0.0,99.75,0.0,0.0,100.0,0.0,0.0,0.0,0.0
